Order_ID,Order_Date,Region,Category,Sub-Category,Sales,Profit,Quantity,Customer_ID,Product_Name
ORD-B4295CA9,2024-01-06,Central,Technology,Phones,1538.46,178.36,7,CUST-1200,Phones - Model 419
ORD-AE4000ED,2022-01-31,East,Office Supplies,Binders,602.08,13.12,2,CUST-8121,Binders - Model 233
ORD-37268B9F,2022-02-21,South,Furniture,Chairs,317.34,2.4,7,CUST-2339,Chairs - Model 135
ORD-BB0D0188,2023-06-16,South,Furniture,Chairs,3103.89,654.29,7,CUST-2425,Chairs - Model 523
ORD-289741DD,2022-03-22,West,Office Supplies,Pens,463.15,-79.16,4,CUST-9929,Pens - Model 869
ORD-1A3D825A,2023-09-08,South,Technology,Copiers,633.45,269.13,2,CUST-8881,Copiers - Model 785
ORD-0E786341,2024-12-15,South,Furniture,Tables,656.7,43.92,6,CUST-2030,Tables - Model 654
ORD-76BE480D,2023-08-04,East,Technology,Phones,93.36,-3.77,1,CUST-1722,Phones - Model 411
ORD-8236188C,2024-02-02,Central,Furniture,Tables,218.58,41.74,5,CUST-4843,Tables - Model 304
ORD-1C79EEE4,2022-11-01,East,Furniture,Tables,432.28,153.86,6,CUST-9143,Tables - Model 231
ORD-2DE39ACB,2024-10-29,West,Furniture,Tables,854.6,371.94,4,CUST-5819,Tables - Model 892
ORD-03C17ECF,2024-07-07,South,Technology,Phones,409.1,125.05,7,CUST-2860,Phones - Model 293
ORD-F6763745,2022-01-07,Central,Furniture,Bookcases,3511.61,-504.97,8,CUST-4588,Bookcases - Model 723
ORD-56F298D6,2024-10-07,East,Furniture,Bookcases,1206.71,105.39,3,CUST-3731,Bookcases - Model 229
ORD-B88F6F7D,2024-06-23,East,Technology,Accessories,290.3,96.13,2,CUST-6991,Accessories - Model 360
ORD-4B308565,2022-01-08,Central,Technology,Copiers,954.91,36.93,2,CUST-7407,Copiers - Model 590
ORD-4CBD3893,2024-05-23,South,Technology,Copiers,82.87,13.66,1,CUST-5355,Copiers - Model 799
ORD-DB414473,2024-08-26,Central,Technology,Copiers,2468.08,-463.3,5,CUST-6473,Copiers - Model 584
ORD-C120053C,2023-10-23,Central,Furniture,Chairs,494.74,-75.56,1,CUST-6631,Chairs - Model 503
ORD-42CBB93F,2023-02-02,Central,Furniture,Tables,1469.74,534.67,8,CUST-1209,Tables - Model 356
ORD-9B08FDC0,2022-09-05,Central,Office Supplies,Binders,2023.13,277.9,5,CUST-1623,Binders - Model 942
ORD-87E5D2C7,2023-09-13,South,Office Supplies,Paper,796.79,82.93,2,CUST-1426,Paper - Model 627
ORD-2A7998DE,2022-12-21,East,Technology,Accessories,131.42,23.08,2,CUST-2292,Accessories - Model 509
ORD-76241BD1,2024-03-11,Central,Furniture,Chairs,1606.55,-219.3,8,CUST-6991,Chairs - Model 769
ORD-14919206,2023-10-20,East,Furniture,Tables,148.28,41.75,1,CUST-7277,Tables - Model 537
ORD-72110888,2024-02-16,East,Furniture,Bookcases,1103.38,287.55,5,CUST-8493,Bookcases - Model 356
ORD-3C55719F,2024-11-30,South,Furniture,Bookcases,921.66,438.33,5,CUST-9412,Bookcases - Model 645
ORD-F1F21C3A,2024-07-18,West,Technology,Copiers,312.73,-6.74,6,CUST-2052,Copiers - Model 792
ORD-4E211697,2023-06-02,South,Office Supplies,Binders,2636.22,356.64,6,CUST-4834,Binders - Model 307
ORD-F403DDBB,2024-12-18,East,Furniture,Chairs,2378.02,-467.02,7,CUST-3817,Chairs - Model 926
ORD-3983F4E7,2022-10-10,Central,Office Supplies,Binders,1151.37,264.1,7,CUST-7921,Binders - Model 372
ORD-6DF66787,2022-07-15,West,Office Supplies,Pens,708.64,302.18,3,CUST-1854,Pens - Model 180
ORD-CD5CA85C,2024-06-01,East,Office Supplies,Pens,334.29,38.1,2,CUST-5938,Pens - Model 336
ORD-54C9C3C6,2022-02-02,East,Office Supplies,Paper,373.26,165.45,1,CUST-6008,Paper - Model 577
ORD-1701188D,2023-07-01,East,Technology,Copiers,1078.89,319.46,8,CUST-7856,Copiers - Model 255
ORD-D433B04A,2023-09-04,South,Office Supplies,Pens,2312.91,-202.13,6,CUST-8116,Pens - Model 654
ORD-60723990,2022-01-11,West,Furniture,Chairs,128.35,18.71,3,CUST-4477,Chairs - Model 245
ORD-2EE563FF,2023-05-27,West,Technology,Accessories,2150.54,43.32,7,CUST-7578,Accessories - Model 199
ORD-8D72E534,2024-10-18,East,Technology,Phones,466.68,-68.2,9,CUST-8531,Phones - Model 154
ORD-9D42A8AA,2023-07-09,Central,Office Supplies,Binders,1098.91,316.08,3,CUST-7562,Binders - Model 256
ORD-5B8CF9F6,2022-09-22,Central,Technology,Phones,800.71,190.53,6,CUST-5528,Phones - Model 302
ORD-7F1EA0A4,2024-03-18,West,Technology,Copiers,986.24,126.63,2,CUST-2815,Copiers - Model 797
ORD-1770298D,2023-07-09,Central,Furniture,Chairs,273.46,35.8,3,CUST-9054,Chairs - Model 141
ORD-2A956AFB,2023-05-21,Central,Office Supplies,Binders,683.6,128.49,5,CUST-8288,Binders - Model 159
ORD-95BAD912,2023-12-30,South,Office Supplies,Pens,588.4,-115.13,2,CUST-5297,Pens - Model 371
ORD-4D12498E,2024-09-30,South,Furniture,Bookcases,920.58,-47.54,6,CUST-5260,Bookcases - Model 470
ORD-7C92DC4A,2022-12-21,East,Office Supplies,Binders,3995.38,851.96,9,CUST-5319,Binders - Model 691
ORD-810DDF64,2023-09-18,Central,Office Supplies,Paper,2457.23,1208.82,7,CUST-8323,Paper - Model 915
ORD-EDCF0982,2024-09-28,Central,Office Supplies,Binders,2158.83,830.41,5,CUST-2580,Binders - Model 275
ORD-9B41AB3D,2023-07-04,East,Furniture,Bookcases,379.25,-21.58,7,CUST-4145,Bookcases - Model 754
ORD-903EEADD,2023-12-29,West,Office Supplies,Pens,2438.44,597.96,6,CUST-5813,Pens - Model 194
ORD-B9004AA6,2024-01-05,South,Technology,Accessories,2286.8,-294.32,8,CUST-9770,Accessories - Model 128
ORD-0046F0B4,2023-06-28,West,Office Supplies,Binders,3499.65,70.42,8,CUST-7035,Binders - Model 559
ORD-4299B9CE,2023-03-25,West,Furniture,Tables,1475.73,358.54,3,CUST-2769,Tables - Model 488
ORD-80426B6C,2023-01-01,East,Furniture,Chairs,2179.18,1065.72,8,CUST-2425,Chairs - Model 241
ORD-17509272,2022-11-11,Central,Office Supplies,Binders,1546.48,156.62,5,CUST-3709,Binders - Model 343
ORD-56BB778F,2023-12-12,East,Technology,Phones,826.58,406.7,10,CUST-8849,Phones - Model 217
ORD-6B6C22DF,2022-10-07,West,Office Supplies,Binders,209.27,84.17,7,CUST-8976,Binders - Model 571
ORD-7FBD1432,2023-12-08,East,Technology,Accessories,3076.6,-378.78,9,CUST-4354,Accessories - Model 401
ORD-76CE8527,2024-07-12,Central,Furniture,Chairs,1761.22,-15.71,6,CUST-9109,Chairs - Model 400
ORD-6D5FC819,2024-12-14,West,Furniture,Tables,2086.06,178.94,6,CUST-6573,Tables - Model 289
ORD-2A340C80,2022-02-11,East,Furniture,Bookcases,845.3,46.17,2,CUST-9894,Bookcases - Model 931
ORD-F011767E,2023-08-15,West,Office Supplies,Binders,696.62,212.99,2,CUST-1840,Binders - Model 791
ORD-77C6A8A1,2022-02-24,Central,Office Supplies,Pens,2985.44,376.57,8,CUST-1405,Pens - Model 568
ORD-972B133D,2022-02-20,West,Furniture,Tables,3488.5,380.54,10,CUST-6408,Tables - Model 451
ORD-C6C85694,2023-09-05,South,Technology,Phones,668.43,322.87,2,CUST-9625,Phones - Model 750
ORD-9D28540E,2023-06-15,West,Office Supplies,Paper,1330.96,-251.57,4,CUST-9233,Paper - Model 858
ORD-347E12B5,2022-07-11,East,Office Supplies,Binders,384.7,40.57,6,CUST-1025,Binders - Model 149
ORD-CCAEC580,2023-05-25,East,Technology,Phones,2312.33,107.12,5,CUST-8127,Phones - Model 625
ORD-78F16C67,2023-09-05,West,Technology,Accessories,201.33,64.52,7,CUST-6400,Accessories - Model 586
ORD-867D76B8,2023-02-26,East,Office Supplies,Pens,548.86,244.85,7,CUST-3644,Pens - Model 234
ORD-842C5551,2024-06-30,Central,Technology,Phones,708.27,134.72,5,CUST-6383,Phones - Model 897
ORD-84B38C1A,2022-09-18,East,Office Supplies,Binders,355.2,60.77,5,CUST-1465,Binders - Model 275
ORD-35337144,2024-09-11,South,Technology,Copiers,1001.69,-199.3,6,CUST-8032,Copiers - Model 429
ORD-6F84AEDE,2022-05-18,East,Office Supplies,Binders,94.61,44.56,1,CUST-5879,Binders - Model 705
ORD-E30F8F4F,2022-11-06,South,Technology,Accessories,404.78,105.63,3,CUST-4653,Accessories - Model 821
ORD-E3B3E1C6,2022-02-11,West,Technology,Copiers,2251.77,56.66,5,CUST-2258,Copiers - Model 363
ORD-650DBC85,2023-04-29,West,Office Supplies,Paper,4218.61,-14.79,10,CUST-4457,Paper - Model 553
ORD-8A90D91B,2023-06-23,South,Technology,Accessories,3339.38,1228.67,7,CUST-2516,Accessories - Model 695
ORD-3EE4108A,2023-01-24,Central,Furniture,Bookcases,3462.37,1540.83,9,CUST-7646,Bookcases - Model 212
ORD-5EB7AAD6,2022-01-30,East,Technology,Accessories,2208.38,198.95,7,CUST-2418,Accessories - Model 456
ORD-BF74E14D,2024-04-20,East,Office Supplies,Pens,1334.67,-171.98,8,CUST-7986,Pens - Model 609
ORD-873382A2,2023-08-30,East,Technology,Phones,465.72,214.08,1,CUST-5243,Phones - Model 361
ORD-AB5E88EE,2023-10-13,East,Furniture,Tables,1099.16,512.95,6,CUST-3103,Tables - Model 692
ORD-CFA3A543,2022-05-08,West,Furniture,Bookcases,2251.92,617.98,5,CUST-7342,Bookcases - Model 392
ORD-17CA0C20,2023-09-09,East,Office Supplies,Binders,3591.2,471.66,9,CUST-4762,Binders - Model 699
ORD-4E812FC3,2022-12-08,South,Technology,Phones,2391.13,693.34,5,CUST-9507,Phones - Model 688
ORD-D941F851,2023-02-13,West,Furniture,Bookcases,1622.28,652.57,4,CUST-8135,Bookcases - Model 835
ORD-0DFC1CD3,2024-10-22,East,Furniture,Bookcases,2184.7,608.63,7,CUST-5973,Bookcases - Model 527
ORD-B23F5C5E,2024-08-01,West,Technology,Phones,2421.6,400.82,7,CUST-4196,Phones - Model 100
ORD-B2547EAA,2022-12-16,West,Office Supplies,Pens,118.88,-5.21,4,CUST-6539,Pens - Model 674
ORD-8B2B088C,2022-05-13,South,Technology,Phones,146.25,3.9,4,CUST-3797,Phones - Model 484
ORD-9459D828,2024-09-16,West,Technology,Copiers,2014.67,606.42,6,CUST-3614,Copiers - Model 363
ORD-294ECFE4,2024-12-10,South,Office Supplies,Paper,1195.25,33.04,3,CUST-5584,Paper - Model 164
ORD-8A72D851,2023-04-07,West,Technology,Copiers,2348.51,998.29,8,CUST-8947,Copiers - Model 211
ORD-A78A1ACE,2023-03-25,Central,Technology,Accessories,2071.47,918.28,7,CUST-2227,Accessories - Model 443
ORD-2925B821,2023-09-24,West,Office Supplies,Paper,4355.61,-300.75,9,CUST-6446,Paper - Model 983
